"Tool","degree_bin","frac_bin","total_count_norm_baseline","total_count_norm","delta_pp_total"
"PPanGGOLiN",4,"35%–40%",0.00056290458767239,0.000275938189845475,-0.03
"PPanGGOLiN",4,"50%–55%",0.000140726146918097,0,-0.01
"PPanGGOLiN",4,"55%–60%",0.000422178440754292,0.000551876379690949,0.01
"PPanGGOLiN",4,"60%–65%",0.000140726146918097,0.000689845474613687,0.05
"PPanGGOLiN",4,"65%–70%",0.000140726146918097,0.000275938189845475,0.01
"PPanGGOLiN",4,"70%–75%",0.000140726146918097,0.000275938189845475,0.01
"PPanGGOLiN",4,"80%–85%",0.000281452293836195,0.000689845474613687,0.04
"PPanGGOLiN",4,"85%–90%",0.00056290458767239,0.000275938189845475,-0.03
"PPanGGOLiN",4,"90%–95%",0.00197016605685336,0.000551876379690949,-0.14
"PPanGGOLiN",4,"95%–100%",0.0350408105826062,0.0204194260485651,-1.46
"PPanGGOLiN",5,"0%–5%",0.00450323670137912,0.00372516556291391,-0.08
"PPanGGOLiN",5,"5%–10%",0.00126653532226288,0.0011037527593819,-0.02
"PPanGGOLiN",5,"10%–15%",0.000703630734590487,0.000275938189845475,-0.04
"PPanGGOLiN",5,"20%–25%",0.000281452293836195,0.000413907284768212,0.01
"PPanGGOLiN",5,"25%–30%",0.000703630734590487,0.000551876379690949,-0.02
"PPanGGOLiN",5,"30%–35%",0.000422178440754292,0.000551876379690949,0.01
"PPanGGOLiN",5,"35%–40%",0.000422178440754292,0.000275938189845475,-0.01
"PPanGGOLiN",5,"45%–50%",0.000281452293836195,0,-0.03
"PPanGGOLiN",5,"55%–60%",0.000281452293836195,0,-0.03
"PPanGGOLiN",5,"60%–65%",0.000140726146918097,0,-0.01
"PPanGGOLiN",5,"85%–90%",0.000140726146918097,0.000551876379690949,0.04
"PPanGGOLiN",5,"90%–95%",0.00112580917534478,0.000689845474613687,-0.04
"PPanGGOLiN",5,"95%–100%",0.0125246270757107,0.00772626931567329,-0.48
"PPanGGOLiN",6,"0%–5%",0.00295524908528005,0.0011037527593819,-0.19
"PPanGGOLiN",6,"5%–10%",0.000703630734590487,0.000137969094922737,-0.06
"PPanGGOLiN",6,"10%–15%",0.000422178440754292,0.000137969094922737,-0.03
"PPanGGOLiN",6,"15%–20%",0.000140726146918097,0.000137969094922737,0
"PPanGGOLiN",6,"25%–30%",0.000140726146918097,0,-0.01
"PPanGGOLiN",6,"30%–35%",0.000281452293836195,0.000689845474613687,0.04
"PPanGGOLiN",6,"35%–40%",0.000140726146918097,0,-0.01
"PPanGGOLiN",6,"55%–60%",0.000281452293836195,0,-0.03
"PPanGGOLiN",6,"60%–65%",0.000140726146918097,0.000137969094922737,0
"PPanGGOLiN",6,"70%–75%",0.000140726146918097,0,-0.01
"PPanGGOLiN",6,"90%–95%",0.000140726146918097,0.000137969094922737,0
"PPanGGOLiN",6,"95%–100%",0.00844356881508584,0.00372516556291391,-0.47
"PPanGGOLiN",7,"0%–5%",0.00112580917534478,0.0011037527593819,0
"PPanGGOLiN",7,"10%–15%",0.000140726146918097,0,-0.01
"PPanGGOLiN",7,"25%–30%",0.000140726146918097,0,-0.01
"PPanGGOLiN",7,"30%–35%",0.000140726146918097,0,-0.01
"PPanGGOLiN",7,"50%–55%",0.000140726146918097,0,-0.01
"PPanGGOLiN",7,"55%–60%",0.000140726146918097,0,-0.01
"PPanGGOLiN",7,"60%–65%",0.000281452293836195,0,-0.03
"PPanGGOLiN",7,"70%–75%",0.000140726146918097,0.000137969094922737,0
"PPanGGOLiN",7,"80%–85%",0.000140726146918097,0,-0.01
"PPanGGOLiN",7,"85%–90%",0.000140726146918097,0,-0.01
"PPanGGOLiN",7,"90%–95%",0.000140726146918097,0.000137969094922737,0
"PPanGGOLiN",7,"95%–100%",0.00394033211370673,0.00303532008830022,-0.09
"PPanGGOLiN",8,"0%–5%",0.00112580917534478,0.000689845474613687,-0.04
"PPanGGOLiN",8,"5%–10%",0.000140726146918097,0.000137969094922737,0
"PPanGGOLiN",8,"25%–30%",0.000140726146918097,0,-0.01
"PPanGGOLiN",8,"90%–95%",0.000140726146918097,0,-0.01
"PPanGGOLiN",8,"95%–100%",0.00225161835068956,0.000965783664459161,-0.13
"PPanGGOLiN",9,"0%–5%",0.000985083028426682,0.000551876379690949,-0.04
"PPanGGOLiN",9,"5%–10%",0.000422178440754292,0.000137969094922737,-0.03
"PPanGGOLiN",9,"10%–15%",0.000281452293836195,0,-0.03
"PPanGGOLiN",9,"30%–35%",0.000140726146918097,0,-0.01
"PPanGGOLiN",9,"35%–40%",0.000140726146918097,0,-0.01
"PPanGGOLiN",9,"55%–60%",0.000281452293836195,0,-0.03
"PPanGGOLiN",9,"70%–75%",0.000281452293836195,0,-0.03
"PPanGGOLiN",9,"90%–95%",0.000140726146918097,0,-0.01
"PPanGGOLiN",9,"95%–100%",0.00211089220377146,0.000551876379690949,-0.16
"PPanGGOLiN",10,"0%–5%",0.000703630734590487,0,-0.07
"PPanGGOLiN",10,"25%–30%",0.000281452293836195,0,-0.03
"PPanGGOLiN",10,"30%–35%",0.000140726146918097,0,-0.01
"PPanGGOLiN",10,"85%–90%",0.000140726146918097,0,-0.01
"PPanGGOLiN",10,"95%–100%",0.00140726146918097,0.000413907284768212,-0.1
"Panaroo",0,"0%–5%",0.000235432607416127,0.00464373820925845,0.44
"Panaroo",1,"0%–5%",0.00282519128899353,0.0159628500943259,1.31
"Panaroo",1,"5%–10%",0.000117716303708064,0.00232186910462923,0.22
"Panaroo",1,"10%–15%",0.000117716303708064,0.00043535045711798,0.03
"Panaroo",1,"15%–20%",0.000235432607416127,0.000145116819039327,-0.01
"Panaroo",2,"0%–5%",0.201177163037081,0.122478595269192,-7.87
"Panaroo",2,"5%–10%",0.0194231901118305,0.0190103032941518,-0.04
"Panaroo",2,"10%–15%",0.0103590347263096,0.0124800464373821,0.21
"Panaroo",2,"15%–20%",0.00141259564449676,0.00362792047598317,0.22
"Panaroo",2,"20%–25%",0.0038846380223661,0.00594978958061239,0.21
"Panaroo",2,"25%–30%",0.0109476162448499,0.0113191118850675,0.04
"Panaroo",2,"30%–35%",0.00376692171865803,0.00783630822812364,0.41
"Panaroo",2,"35%–40%",0.000470865214832254,0.00101581773327529,0.05
"Panaroo",2,"40%–45%",0.00105944673337257,0.00043535045711798,-0.06
"Panaroo",2,"45%–50%",0.00400235432607416,0.00188651864751125,-0.21
"Panaroo",2,"50%–55%",0.00412007062978222,0.000725584095196633,-0.34
