"Tool","degree_bin","frac_bin","count","total_deg","count_norm","total_nodes","count_total_norm"
"PPanGGOLiN",3,"90%–95%",15,859,0.0174621653084983,7106,0.00211089220377146
"PPanGGOLiN",3,"95%–100%",553,859,0.643771827706636,7106,0.0778215592457079
"PPanGGOLiN",4,"0%–5%",74,394,0.187817258883249,7106,0.0104137348719392
"PPanGGOLiN",4,"5%–10%",10,394,0.0253807106598985,7106,0.00140726146918097
"PPanGGOLiN",4,"10%–15%",6,394,0.0152284263959391,7106,0.000844356881508584
"PPanGGOLiN",4,"15%–20%",2,394,0.0050761421319797,7106,0.000281452293836195
"PPanGGOLiN",4,"20%–25%",1,394,0.00253807106598985,7106,0.000140726146918097
"PPanGGOLiN",4,"25%–30%",9,394,0.0228426395939086,7106,0.00126653532226288
"PPanGGOLiN",4,"30%–35%",12,394,0.0304568527918782,7106,0.00168871376301717
"PPanGGOLiN",4,"35%–40%",4,394,0.0101522842639594,7106,0.00056290458767239
"PPanGGOLiN",4,"50%–55%",1,394,0.00253807106598985,7106,0.000140726146918097
"PPanGGOLiN",4,"55%–60%",3,394,0.00761421319796954,7106,0.000422178440754292
"PPanGGOLiN",4,"60%–65%",1,394,0.00253807106598985,7106,0.000140726146918097
"PPanGGOLiN",4,"65%–70%",1,394,0.00253807106598985,7106,0.000140726146918097
"PPanGGOLiN",4,"70%–75%",1,394,0.00253807106598985,7106,0.000140726146918097
"PPanGGOLiN",4,"80%–85%",2,394,0.0050761421319797,7106,0.000281452293836195
"PPanGGOLiN",4,"85%–90%",4,394,0.0101522842639594,7106,0.00056290458767239
"PPanGGOLiN",4,"90%–95%",14,394,0.0355329949238579,7106,0.00197016605685336
"PPanGGOLiN",4,"95%–100%",249,394,0.631979695431472,7106,0.0350408105826062
"PPanGGOLiN",5,"0%–5%",32,162,0.197530864197531,7106,0.00450323670137912
"PPanGGOLiN",5,"5%–10%",9,162,0.0555555555555556,7106,0.00126653532226288
"PPanGGOLiN",5,"10%–15%",5,162,0.0308641975308642,7106,0.000703630734590487
"PPanGGOLiN",5,"20%–25%",2,162,0.0123456790123457,7106,0.000281452293836195
"PPanGGOLiN",5,"25%–30%",5,162,0.0308641975308642,7106,0.000703630734590487
"PPanGGOLiN",5,"30%–35%",3,162,0.0185185185185185,7106,0.000422178440754292
"PPanGGOLiN",5,"35%–40%",3,162,0.0185185185185185,7106,0.000422178440754292
"PPanGGOLiN",5,"45%–50%",2,162,0.0123456790123457,7106,0.000281452293836195
"PPanGGOLiN",5,"55%–60%",2,162,0.0123456790123457,7106,0.000281452293836195
"PPanGGOLiN",5,"60%–65%",1,162,0.00617283950617284,7106,0.000140726146918097
"PPanGGOLiN",5,"85%–90%",1,162,0.00617283950617284,7106,0.000140726146918097
"PPanGGOLiN",5,"90%–95%",8,162,0.0493827160493827,7106,0.00112580917534478
"PPanGGOLiN",5,"95%–100%",89,162,0.549382716049383,7106,0.0125246270757107
"PPanGGOLiN",6,"0%–5%",21,99,0.212121212121212,7106,0.00295524908528005
"PPanGGOLiN",6,"5%–10%",5,99,0.0505050505050505,7106,0.000703630734590487
"PPanGGOLiN",6,"10%–15%",3,99,0.0303030303030303,7106,0.000422178440754292
"PPanGGOLiN",6,"15%–20%",1,99,0.0101010101010101,7106,0.000140726146918097
"PPanGGOLiN",6,"25%–30%",1,99,0.0101010101010101,7106,0.000140726146918097
"PPanGGOLiN",6,"30%–35%",2,99,0.0202020202020202,7106,0.000281452293836195
"PPanGGOLiN",6,"35%–40%",1,99,0.0101010101010101,7106,0.000140726146918097
"PPanGGOLiN",6,"55%–60%",2,99,0.0202020202020202,7106,0.000281452293836195
"PPanGGOLiN",6,"60%–65%",1,99,0.0101010101010101,7106,0.000140726146918097
"PPanGGOLiN",6,"70%–75%",1,99,0.0101010101010101,7106,0.000140726146918097
"PPanGGOLiN",6,"90%–95%",1,99,0.0101010101010101,7106,0.000140726146918097
"PPanGGOLiN",6,"95%–100%",60,99,0.606060606060606,7106,0.00844356881508584
"PPanGGOLiN",7,"0%–5%",8,47,0.170212765957447,7106,0.00112580917534478
"PPanGGOLiN",7,"10%–15%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"25%–30%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"30%–35%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"50%–55%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"55%–60%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"60%–65%",2,47,0.0425531914893617,7106,0.000281452293836195
"PPanGGOLiN",7,"70%–75%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"80%–85%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"85%–90%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"90%–95%",1,47,0.0212765957446809,7106,0.000140726146918097
"PPanGGOLiN",7,"95%–100%",28,47,0.595744680851064,7106,0.00394033211370673
"PPanGGOLiN",8,"0%–5%",8,27,0.296296296296296,7106,0.00112580917534478
"PPanGGOLiN",8,"5%–10%",1,27,0.037037037037037,7106,0.000140726146918097
"PPanGGOLiN",8,"25%–30%",1,27,0.037037037037037,7106,0.000140726146918097
"PPanGGOLiN",8,"90%–95%",1,27,0.037037037037037,7106,0.000140726146918097
"PPanGGOLiN",8,"95%–100%",16,27,0.592592592592593,7106,0.00225161835068956
