"Tool","degree_bin","frac_bin","count","total_nodes","count_norm"
"PPanGGOLiN",4,"35%–40%",4,7106,0.00056290458767239
"PPanGGOLiN",4,"50%–55%",1,7106,0.000140726146918097
"PPanGGOLiN",4,"55%–60%",3,7106,0.000422178440754292
"PPanGGOLiN",4,"60%–65%",1,7106,0.000140726146918097
"PPanGGOLiN",4,"65%–70%",1,7106,0.000140726146918097
"PPanGGOLiN",4,"70%–75%",1,7106,0.000140726146918097
"PPanGGOLiN",4,"80%–85%",2,7106,0.000281452293836195
"PPanGGOLiN",4,"85%–90%",4,7106,0.00056290458767239
"PPanGGOLiN",4,"90%–95%",14,7106,0.00197016605685336
"PPanGGOLiN",4,"95%–100%",249,7106,0.0350408105826062
"PPanGGOLiN",5,"0%–5%",32,7106,0.00450323670137912
"PPanGGOLiN",5,"5%–10%",9,7106,0.00126653532226288
"PPanGGOLiN",5,"10%–15%",5,7106,0.000703630734590487
"PPanGGOLiN",5,"20%–25%",2,7106,0.000281452293836195
"PPanGGOLiN",5,"25%–30%",5,7106,0.000703630734590487
"PPanGGOLiN",5,"30%–35%",3,7106,0.000422178440754292
"PPanGGOLiN",5,"35%–40%",3,7106,0.000422178440754292
"PPanGGOLiN",5,"45%–50%",2,7106,0.000281452293836195
"PPanGGOLiN",5,"55%–60%",2,7106,0.000281452293836195
"PPanGGOLiN",5,"60%–65%",1,7106,0.000140726146918097
"PPanGGOLiN",5,"85%–90%",1,7106,0.000140726146918097
"PPanGGOLiN",5,"90%–95%",8,7106,0.00112580917534478
"PPanGGOLiN",5,"95%–100%",89,7106,0.0125246270757107
"PPanGGOLiN",6,"0%–5%",21,7106,0.00295524908528005
"PPanGGOLiN",6,"5%–10%",5,7106,0.000703630734590487
"PPanGGOLiN",6,"10%–15%",3,7106,0.000422178440754292
"PPanGGOLiN",6,"15%–20%",1,7106,0.000140726146918097
"PPanGGOLiN",6,"25%–30%",1,7106,0.000140726146918097
"PPanGGOLiN",6,"30%–35%",2,7106,0.000281452293836195
"PPanGGOLiN",6,"35%–40%",1,7106,0.000140726146918097
"PPanGGOLiN",6,"55%–60%",2,7106,0.000281452293836195
"PPanGGOLiN",6,"60%–65%",1,7106,0.000140726146918097
"PPanGGOLiN",6,"70%–75%",1,7106,0.000140726146918097
"PPanGGOLiN",6,"90%–95%",1,7106,0.000140726146918097
"PPanGGOLiN",6,"95%–100%",60,7106,0.00844356881508584
"PPanGGOLiN",7,"0%–5%",8,7106,0.00112580917534478
"PPanGGOLiN",7,"10%–15%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"25%–30%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"30%–35%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"50%–55%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"55%–60%",1,7106,0.000140726146918097
"PPanGGOLiN",7,"60%–65%",2,7106,0.000281452293836195
